Tid,Gid,Same_identity
100201057,105430282335808019269,no
100201057,106458079667148038483,no
100201057,113297536430258736589,yes
100201057,113527871527958391719,no
100284857,116075801196498672429,yes
100422314,103077130332827880851,yes
100422314,106698209563527723647,no
100422314,108675498341378834063,no
100527195,105616077193244698739,yes
100527195,116857533990320962319,no
100609477,104943457973655616100,yes
100660891,102498512778716607900,no
100660891,107381678451923103974,yes
100660891,111723775911616857320,no
100679424,106698209563527723647,yes
100841269,100004293394044535201,yes
100841269,102023200234540055360,no
100945422,103280308715226250900,yes
100950533,104113973604722676981,yes
100950533,104155691716401628600,no
100950533,110136895585185556683,no
100950533,110980459256755539907,no
1009897514,102607141539550628171,yes
1009897514,106918766173453629424,no
101221882,109509312293327439291,yes
101221882,115560758906447374812,no
101264488,105430282335808019269,yes
101264488,107943571138835811893,no
101264488,110754790823044582762,no
101264488,117603263710234531988,no
10142,110597405361098513186,yes
1014882470,110754790823044582762,no
1014882470,112263942953812217706,no
1014882470,113888496835039967847,yes
1016751182,109176378325622827515,no
1016751182,118187202679663374654,yes
101830810,113683521574976577815,yes
101830810,115060616177994012205,no
101830810,115257834527270797808,no
1019281,117803442319829911430,yes
101948369,101203569672825912828,no
101948369,102864458657713853918,no
101948369,106753963928734086774,no
101948369,107915506696790487476,yes
101948369,110758693510131874432,no
101948369,112821711310129253059,no
1020344352,111417548179513805640,yes
1020344352,112210454315294151012,no
1021981,108458561590769168307,yes
1022431226,103174182913740634413,no
1022431226,108342811199370418537,yes
102294002,115914383248787536533,yes
10252232,103412404636673610909,yes
10252232,114872078302436213190,no
102651938,110455961537402110277,no
102651938,118161320169461092941,yes
102694047,101835705072581690315,yes
102694047,106458079667148038483,no
1027550701,107381678451923103974,no
1027550701,114400108952120733706,yes
1027591404,100744990551889873296,no
1027591404,103460289901637596653,no
1027591404,106250819175213752046,yes
1027591404,110043971310031059233,no
1028213802,100400789225959763414,yes
1028213802,102607141539550628171,no
1028213802,106276872670263810712,no
1028213802,112704246109890383272,no
1028213802,113977352108297363864,no
102897014,106200818263523911577,yes
102897014,110758693510131874432,no
1032870493,112361095729733705950,yes
103609042,100776326780455657443,no
103609042,104215559741015088028,yes
103609042,106813034356634096769,no
103609042,111678586738742267659,no
103658509,112210454315294151012,yes
103906119,106563768188032903847,yes
104213081,106738409322908033071,no
104213081,111079390840277790518,yes
104213081,112385574202608999682,no
104249364,108458561590769168307,no
104249364,114806377246597093911,no
104249364,114936820548893445422,yes
104293881,101691246544270926026,yes
104293881,115091689717966155777,no
1044112255,102112507605755739729,no
1044112255,111820219310667562700,no
1044112255,115186951323614254829,yes
1044291374,109868289726309954328,yes
1044689149,115977682128299678591,yes
104476371,109634816036694229790,no
104476371,110569430210012808886,yes
10462172,103127440933398342242,no
10462172,112327695613369370626,yes
1047720494,103460289901637596653,yes
1047720494,113574596997796803775,no
104888477,104784034859123632114,yes
104888477,109272497991102482485,no
10504802,111306174615591926116,yes
10504802,113421243570714500516,no
105319446,105394509503438980582,no
105319446,107142967069982303725,yes
105389839,103137611862652328570,yes
105389839,113728431662858775606,no
105389839,115988543558227008604,no
1055711383,113845744677770126857,yes
105631994,108462415114102065825,no
105631994,110212252286310850605,yes
105631994,112198481732086633549,no
105749978,107933766895199131402,yes
