Gid,Fid,Same_identity
100004305310324263100,100001582265124,0
100004305310324263100,100005322515684,1
100007043329073558846,100007240952467,1
100007043329073558846,641176754,0
100011006408970594453,100003225546111,1
100011006408970594453,2406942,0
100011006408970594453,517386441,0
100017159406033127964,1517021805,1
100018244333411218505,100001485551161,0
100018244333411218505,1050883924,0
100018244333411218505,1834317084,1
100026451336474501696,1258616359,1
100026451336474501696,1803420780,0
100026451336474501696,556168424,0
100032443555463589505,1295132216,0
100032443555463589505,1353684764,1
100032663547728132711,100007222112589,0
100032663547728132711,1532283151,1
100035386540658213018,100003284647041,1
100035386540658213018,1572325983,0
100038076026282587764,100006553683143,1
100038076026282587764,1342048122,0
100038076026282587764,677127695,0
100038329597391821242,1538271396,1
100047359409823311452,547355822,1
100049025184711850584,1813051424,1
100050116203557164994,766654999,1
100051109578442486064,1498884720,0
100051109578442486064,663906011,1
100052184008424442315,810264813,1
100062453126908063417,1199864440,1
100062453126908063417,1227825215,0
100071081969519509281,589004516,1
100071081969519509281,658648138,0
100071081969519509281,713224539,0
100078665586822753053,1160401674,1
100079513615022088413,604381919,1
100079839595321123783,1058445266,0
100079839595321123783,1840983100,1
100084474720302948036,1547180830,1
100084474720302948036,1765368747,0
100084474720302948036,652925230,0
100084481281898877445,1621869610,1
100086165095319820435,1155510003,1
100097245301212315149,100001980775389,1
100097669613760440442,1442706469,1
100097669613760440442,602526816,0
100097671139060476421,1268907284,0
100097671139060476421,1842065409,1
100102230247115193162,507644147,1
100109206268779665928,100001625344010,1
100109465456901625449,1822590754,1
100109504614575275438,100003844980109,1
100109504614575275438,693412273,0
100112562828301113020,100002201796945,0
100112562828301113020,1170462569,0
100112562828301113020,1385901806,1
100112672997166448938,100001634326060,1
100112672997166448938,1621676070,0
100114597877733930186,1240681612,1
100115195233155888669,100006484177928,1
100115195233155888669,227800343,0
100116320598644122788,1454130019,0
100116320598644122788,1808634782,1
100118710465415072392,100007109641965,0
100118710465415072392,629952225,1
100119938362225348675,1360360793,0
100119938362225348675,601494790,0
100119938362225348675,635219527,1
100122652502014887224,100001858224561,0
100122652502014887224,1135174051,1
100122652502014887224,1225646881,0
100123872405713381828,1000520801,0
100123872405713381828,785863185,1
100134457124618176367,100006179044116,0
100134457124618176367,1270579796,1
100135051470288626654,1317529156,0
100135051470288626654,831138591,1
100138921687275575367,539266898,1
100138921687275575367,680950126,0
100138921687275575367,702345195,0
100145175962397810500,100001918243860,0
100145175962397810500,1048455442,0
100145175962397810500,550539127,1
100145973160091701163,100002635828907,1
100145973160091701163,1200160,0
100148463991981706449,100003254376304,1
100154799306476713724,100002023776193,0
100154799306476713724,1495707613,1
100156574576805615808,1631415772,1
100161912715184170415,1659971506,0
100161912715184170415,502632672,1
100162521554003082798,100002962401420,0
100162521554003082798,1799496350,0
100162521554003082798,844050401,1
100162700310197993116,100001879381667,1
100162700310197993116,1576260306,0
100168345301990862078,1503735399,1
100174154879807127300,100003210621404,0
100174154879807127300,100007263185705,0
100174154879807127300,1258089384,1
100174154879807127300,834329409,0
100175152649593169806,1552990438,1
100175152649593169806,674605806,0
100183519723912146591,605111103,1
100184119930765497518,100007390620676,0
100184119930765497518,1538854624,1
100188194041160825202,100001448896822,1
100188194041160825202,780942718,0
100189155501770326523,100001677326906,0
100189155501770326523,100002338118941,0
100189155501770326523,1822590754,0
100189155501770326523,781045955,1
100190815447989170217,100002005222393,1
100190815447989170217,1250276221,0
100190815447989170217,1544351731,0
100194898140876255484,100002743022098,1
100194898140876255484,100003952005807,0
100194898140876255484,1048933535,0
100194898140876255484,514686108,0
100196204237705577644,1529951380,0
100196204237705577644,1533545621,0
100196204237705577644,673912310,1
100200419576012353767,691545095,1
100202706853835639703,1554258171,1
100202706853835639703,628528902,0
100207587164748210948,100003355464689,1
100210394279974124310,100003208100784,0
100210394279974124310,1811444677,1
100210394279974124310,681840179,0
100211981186593315455,809500617,1
100213018059486611749,100007122730598,1
100216346651799184625,100002360192816,1
100216346651799184625,1528587997,0
100217179500500841090,100001635523567,1
100217179500500841090,611578704,0
100217179500500841090,748420768,0
100224063623803304469,100002483289757,1
100224063623803304469,100002639875023,0
100224063623803304469,1509530459,0
100224063623803304469,1538402669,0
100224063623803304469,1602079155,0
100224063623803304469,502632672,0
100226713151068007462,1016070366,0
100226713151068007462,1448297662,1
100227324810827117592,2611269,1
100227324810827117592,700680108,0
100229901336122685700,1630545258,1
100242674459999308103,100007417357316,1
100242674459999308103,1209318712,0
100242674459999308103,1230499694,0
100242674459999308103,501628230,0
100242674459999308103,583743720,0
100242762258602420880,100004762091707,0
100242762258602420880,1002826233,0
100242762258602420880,554017006,1
100247653001270601428,10709916,0
100247653001270601428,1557030712,0
100247653001270601428,702113343,1
100251490125857063855,1503249798,1
100251490125857063855,1747440287,0
100265943769108735256,601581893,1
100266318279958969465,1080281298,1
100266318279958969465,1212396350,0
100266318279958969465,1247231755,0
100267496996943889807,1817365228,1
100267496996943889807,889400505,0
100267707230970472918,674263072,1
100267707230970472918,889395499,0
100268061803425101102,100001694886889,1
100268235827109001278,1710944735,1
100268884230318626231,1707144713,1
100269325530298504034,121507921,1
100269325530298504034,1817351713,0
100271162429893002764,100001492256937,0
100271162429893002764,1295133040,1
100271162429893002764,510020414,0
100274951722321746986,1516844951,0
100274951722321746986,560933140,1
100274951722321746986,631488388,0
100275727946087763974,100005439996594,1
100277049178603366684,100001859287872,1
100278096077616904371,1023316822,0
100278096077616904371,1087268990,1
100278096077616904371,697336442,0
100279715937330186108,100003783721315,1
100279715937330186108,1591230912,0
100280588244912265639,506535687,0
100280588244912265639,601491628,1
100280588244912265639,824883775,0
100282053727669770538,100002480041016,0
100282053727669770538,100002875274762,0
100282053727669770538,1404486707,1
100286366422779274918,100001784778556,1
100289891247138465597,100007068037575,0
100289891247138465597,1245778213,0
100289891247138465597,1249758758,1
100289891247138465597,1359333828,0
100290253815736154685,100001682228794,0
100290253815736154685,100004310670866,1
100299709564161666586,827828757,1
100303769436308575468,100003116442433,0
100303769436308575468,100004889412487,0
100303769436308575468,1416941971,0
100303769436308575468,1507931913,0
100303769436308575468,584575462,1
100303887854433570367,1069057301,0
100303887854433570367,1526441150,0
100303887854433570367,578184464,0
100303887854433570367,614205299,0
100303887854433570367,754758922,1
100305420006532761837,100001529134433,1
100305420006532761837,1440327395,0
100305420006532761837,835889230,0
100310226879669808514,1050939784,0
100310226879669808514,1117584169,0
100310226879669808514,566783208,1
100311689448866474231,100001611030734,0
100311689448866474231,1148520469,1
100311689448866474231,704962353,0
100313459970395839242,100001357688108,0
100313459970395839242,1309922557,1
100313459970395839242,829025596,0
100319632642200278015,622883433,1
100319632642200278015,715437221,0
100319632642200278015,767979624,0
100322198879678926680,730546756,1
100329436749913341798,100001851470731,1
100330535631039796962,4714183,1
100330535631039796962,708347303,0
100330867572762439820,100003136747907,0
100330867572762439820,100003511878039,1
100332370168357667836,100006478007404,1
100332593923962549573,100006640121479,0
100332593923962549573,1054237885,1
100335256846720858652,100004100581831,0
100335256846720858652,759534666,1
100335256846720858652,879240532,0
100335439914793102224,100001674290833,0
100335439914793102224,100002077086801,1
100335439914793102224,1507839124,0
100342545103292379279,100004639300754,0
100342545103292379279,1303719444,0
100342545103292379279,517057335,1
100344943739145805941,526269972,0
100344943739145805941,730197223,1
100350251071190587492,100003701056433,1
100351095756362474693,1031843676,1
100351095756362474693,529940044,0
100351825011465526959,100001755277949,1
100356110806422434982,1329705125,0
100356110806422434982,502232894,1
100358109014578002300,100003627010346,0
100358109014578002300,724843637,1
100358109014578002300,796350337,0
100360192776602071710,1310756578,1
100360192776602071710,623542906,0
100360192776602071710,763905907,0
100360916249031861569,100003163680885,1
100360916249031861569,615567595,0
100360916249031861569,634353811,0
100362034322570362108,47903368,1
100374689705281005144,100001452840327,1
100374689705281005144,100002990808061,0
100374689705281005144,141300117,0
100374689705281005144,655185656,0
100375921174535275303,100002483289757,0
100375921174535275303,100003820144842,1
100375921174535275303,801485,0
100375938817757903585,100001626171505,0
100375938817757903585,750569662,1
100376607128316403595,100001494871180,1
100376607128316403595,100003998831789,0
100376607128316403595,605609367,0
100377112145536830930,1049020105,1
100377127510860191039,100001805645539,0
100377127510860191039,1469127369,1
100377417213274555679,1427622365,0
100377417213274555679,582870390,1
100378623235563292655,1422830819,1
100388894646262669610,1019048858,0
100388894646262669610,593129406,1
100404117267127279090,100007537269122,0
100404117267127279090,1355438851,1
100404117267127279090,733964892,0
100409793471007281941,1387351951,0
100409793471007281941,621824127,1
100410158851120807045,1533056009,1
100418793880334001107,100002487145952,0
100418793880334001107,100007537269122,0
100418793880334001107,1695593796,1
100419145620138429433,1269275623,1
100419145620138429433,1532409314,0
100422130219618363609,100001496484001,1
100422130219618363609,615466658,0
100426023884795256918,1534828329,1
100427185035065489038,100007109641965,1
100427185035065489038,1188605809,0
100427185035065489038,1431944462,0
100427464352016646938,100003350375905,1
100431611966490513876,513303063,0
100431611966490513876,528312527,1
100431611966490513876,539555965,0
100431611966490513876,70002387,0
100435490218017249060,100002010849137,1
100435490218017249060,615914358,0
100435490218017249060,748717773,0
100437434449890383420,557826570,1
100437434449890383420,670082651,0
100440758470641315034,100002117742151,1
100441545237375836705,15102199,0
100441545237375836705,601652679,1
100451075044319900352,1626372160,1
100451681462995538291,12117822,0
100451681462995538291,20401667,1
100457163324020256250,501571825,1
100457163324020256250,514376173,0
100468409733985432263,100002022906058,0
100468409733985432263,100003379434217,1
100468409733985432263,1632176691,0
100473637538228325139,100001850337087,0
100473637538228325139,15208666,1
100474262673988006786,100003171559555,0
100474262673988006786,1284311238,1
100475462596741445572,611578704,1
100477726332166660860,54202495,1
100485632026157233303,100002988733672,1
100496508106913034522,1638258033,0
100496508106913034522,512171836,1
100496508106913034522,641176754,0
100499194902816750585,100001422429752,0
100499194902816750585,1744492780,1
100500746260428492507,649158391,1
100500833862471127633,100001505288482,0
100500833862471127633,672448806,1
100504679261905339405,1300909161,1
100512674534368201463,1031903949,0
100512674534368201463,569752082,1
100513357832298758983,100006475157050,0
100513357832298758983,1333582983,1
100515689427191582704,1278112788,1
100515694818433926897,1153489902,0
100515694818433926897,1512532892,1
100518787091882214378,100001723515375,0
100518787091882214378,1590223380,1
100519826574872825696,1672046955,1
100519826574872825696,560933140,0
100526630260136710191,1192440178,0
100526630260136710191,1557363059,0
100526630260136710191,579530279,1
100539258330377540976,1513670623,1
100542984405963106964,100001417832491,0
100542984405963106964,100003532059843,1
100547328389866574780,100002220549844,1
100552302195429887208,1541640915,0
100552302195429887208,630272571,0
100552302195429887208,740168334,1
100553708019037387370,100001973126112,0
100553708019037387370,1547031067,1
100555962032587450398,593763701,1
100564661717411665569,100001427184189,1
100569147662153179684,1489096749,1
100569667204937534241,1109756983,1
100575009382612998806,100008113243769,0
100575009382612998806,1134296332,0
100575009382612998806,315945,1
100576588880812892796,100003783721315,0
100576588880812892796,100005081648456,1
100576588880812892796,1257623581,0
100577963338794107772,1290701578,1
100577963338794107772,1590955637,0
100577963338794107772,582174744,0
100579647238116959289,100002957708381,0
100579647238116959289,1040863690,1
100579647238116959289,1160007441,0
100579647238116959289,1576758120,0
100582805174059067426,100006507673609,0
100582805174059067426,1573324278,1
100584561640938211081,1078399487,1
100584561640938211081,635219527,0
100589186466840736949,703908548,1
100589216447488909773,1280033847,1
100589216447488909773,1450039859,0
100589216447488909773,715437221,0
100592057854182244276,100003017176448,0
100592057854182244276,678463111,1
100596507292612975406,100002306611030,1
100596507292612975406,100002402550925,0
100596507292612975406,1208426995,0
100596507292612975406,557690095,0
100609620621812987271,588457891,0
100609620621812987271,592309357,1
100609620621812987271,6014612,0
100613350690523127780,100004086125590,0
100613350690523127780,1039918490,0
100613350690523127780,1469580072,0
100613350690523127780,1588539343,1
100618812276456675287,100002594659011,1
100618812276456675287,100003694172942,0
100618812276456675287,100003978445197,0
100618812276456675287,503435926,0
100631407006723924902,100003760456630,1
100631407006723924902,622547887,0
100637308447782926758,100004712732500,1
100637854839950625033,1603117550,1
100637854839950625033,760373474,0
100649399110500212728,1517596055,1
100650722038059037975,100001342432367,1
100650722038059037975,1619640769,0
100654772274917527603,1528141989,1
100657972266413652430,1463822734,0
100657972266413652430,1609732970,1
100658527221560926341,1654606243,1
100658527221560926341,509163258,0
100658703167028227907,100003873655478,1
100658703167028227907,1487726070,0
100658703167028227907,583605742,0
100667970674664328574,1070680749,1
100668510574425444728,100001615700255,0
100668510574425444728,707665057,1
100670921756606001572,4811075,0
100670921756606001572,649240166,1
100670921756606001572,678463111,0
100671189232323742722,100003898547877,0
100671189232323742722,1322035510,1
100678729684242858049,100001652476069,0
100678729684242858049,1103777065,1
100678729684242858049,665280821,0
100682195367119155785,1357463508,0
100682195367119155785,1629903081,1
100682838801076599110,1281834039,1
100682980590193613486,1638960058,1
100684934474548111485,100001792948445,1
100684934474548111485,681858109,0
100686899501073347607,100001355809705,1
100688485131398322787,1374875404,1
100688485131398322787,1578640928,0
100692537645413398001,100003734687462,1
100692537645413398001,1390507529,0
100696405147747359300,1269123593,0
100696405147747359300,680925047,1
100696906473613755347,1476562651,1
100696906473613755347,532095345,0
100699560707576308767,100002774976266,0
100699560707576308767,775987725,1
100709825384988807499,1209641077,1
100713043690405795372,687184235,1
100716977602077447415,100005456262826,0
100716977602077447415,1208426995,0
100716977602077447415,1224948820,0
100716977602077447415,871435206,1
