Tid,Gid,Same_identity
15847367,105135198302843216163,yes
15847367,109559876976674069274,no
15854316,111875785330664310779,yes
15854316,115885579235623594084,no
15854575,102858992253309666174,yes
1586674278,114712852231433778388,yes
1586752332,112115502588989721853,no
1586752332,117240177669871793636,yes
15868017,116607451413574474055,yes
15873848,112174413414693619166,yes
1588740504,102269949688180231960,yes
1588740504,107227180120933103314,no
1590103873,109850156217628503853,yes
15901597,105041155822701773216,yes
159037373,111161147524949095445,no
159037373,116519298355831472241,yes
15904300,101403174733863658565,yes
15915952,117354960403553623970,yes
15926078,104093817528090083951,no
15926078,107082278701210921200,yes
15934170,104553858366329149136,no
15934170,107155286549172910400,yes
15935999,100716977602077447415,yes
15935999,102609064139731530438,no
15935999,102778651135760710184,no
15947897,107113033936595495989,yes
159628853,106035446066211336358,no
159628853,108693585600356818455,yes
15971714,100865441779650570576,no
15971714,110176482386206490784,yes
15973037,115237092509505721130,yes
160005695,106441570033029509222,yes
16017251,105211254097588470989,yes
16018802,106728856043143204200,yes
16021014,103448640997558067665,yes
16024902,110055696802818180321,yes
16024902,114197951660575959146,no
16046912,104205385685631366134,yes
16063410,105000864368700262321,yes
16063410,116930783277893951984,no
160732210,113987939352583444477,yes
161493206,102660925149030065933,yes
161493206,111804396378199638320,no
16159310,106618588317943363161,yes
16163217,107626481471868440814,yes
1619103835,103135162823321948365,yes
1619103835,104383743937872457920,no
1619103835,109530125683208012957,no
16213124,111569238705934157052,no
16213124,114371546573842169420,no
16213124,118136232699687858099,yes
1623573450,102136601183797591108,yes
1623573450,109787916610820311595,no
162686775,104825570394776212637,yes
1628268714,111868566819315188595,yes
1629244514,107082278701210921200,no
1629244514,111161147524949095445,yes
1629244514,116283525705176404865,no
16296683,107017490815997658624,no
16296683,115885579235623594084,yes
163002242,105252579872975184219,yes
163021889,100764132856025874311,no
163021889,110740096349093718855,yes
16323190,110992540192600516242,yes
16329361,110593853249475600967,yes
16329361,111868566819315188595,no
16350504,101524269459571825585,yes
16350504,104085666931985464873,no
16350504,118136232699687858099,no
163670188,117754954286039940170,yes
163675066,117754954286039940170,yes
16370485,106578394402183293486,yes
16370485,114154578195585647571,no
163790328,100280669953077309961,no
163790328,105176201879516938505,yes
163790328,106820522370465795246,no
16380526,108590147577342967573,yes
16389630,104313639177467750059,yes
16389630,105211254097588470989,no
16393162,108284376742570502007,yes
16393162,113090210766871505439,no
1639442106,100487839149626833980,yes
1639442106,108129929572998880578,no
16409856,100504679261905339405,yes
16411173,100355041045514658842,no
16411173,112695480936941834082,yes
16413647,112579702851534445758,yes
1641602245,102489050874024260636,yes
1642035152,101115028051255611611,no
1642035152,105463182062509131558,yes
16422088,116037908406574403484,yes
16465833,100165628532322624729,no
16465833,114705439845350957312,yes
16477616,102709562416726138273,yes
16477616,110992540192600516242,no
164781936,100504679261905339405,no
164781936,117257715335191865053,yes
164979747,113788340880575687640,no
164979747,116068929718715118792,yes
16500105,101713037098205926660,yes
1652045282,109266601634385891937,yes
1652045282,111275498925212139254,no
1652045282,116037908406574403484,no
16540406,107082278701210921200,no
16540406,108870601592252567315,no
16540406,114794723532613892967,yes
165456016,108794942917533257131,yes
165456016,117271823550428470515,no
16551533,108070646120160104788,yes
16557432,103448640997558067665,no
16557432,110304579518973412429,no
16557432,118255512766703943814,yes
16560623,105000864368700262321,no
16560623,110346500530502745039,yes
16567917,106435092957109823464,yes
16567917,107230040249004667075,no
165706045,117951327725186629857,yes
16579506,113557371289421835990,yes
165971702,107207036779440960937,yes
166016238,100487839149626833980,no
166016238,105135198302843216163,no
166016238,110477673763115767990,yes
166106658,102356310654888725548,yes
16614521,100716977602077447415,no
16614521,104405679630072508308,yes
16614521,108612311203869502383,no
16614521,111594070520024720978,no
16614521,115237092509505721130,no
16614521,118136232699687858099,no
16616855,102084257258559149993,yes
16616855,111250836186317177942,no
16616855,111317194395018468465,no
16616855,112579702851534445758,no
166261823,112387490733230098418,yes
16626187,108726152831752630088,yes
16626187,111161147524949095445,no
16626187,114794723532613892967,no
1662898160,102886197764899636537,yes
166433975,105062866202972465248,yes
166564374,113218101287961545481,yes
166564374,116445379838677729830,no
166564374,116607451413574474055,no
1666524906,100355041045514658842,yes
16669194,100933960328321768497,no
16669194,102084257258559149993,no
16669194,110983904846185048211,yes
16669194,112579702851534445758,no
16674724,100644739256578503375,yes
16684720,102751239063709831149,no
16684720,102760922043898306220,no
16684720,112202129523606984704,yes
1669453092,109670670411577277190,yes
16712964,106125330160782028851,yes
167240146,100461349295109972798,no
167240146,116245148848080474877,yes
16726836,102886197764899636537,no
16726836,109125078015384317470,yes
1677131779,112521087123250593344,no
1677131779,116653992599208763428,no
1677131779,117466765998557228165,yes
1677131779,118136232699687858099,no
16801492,110593853249475600967,no
16801492,113218101287961545481,no
16801492,115556703606640570961,yes
16815673,100022209114682827031,no
16815673,101134705810703667469,yes
16815673,102886197764899636537,no
16815673,105000864368700262321,no
16815673,113962828762743067706,no
16815673,118136232699687858099,no
1681729680,117493511011372581423,yes
16821019,105191184776775320237,yes
168210874,103280786824527848477,yes
1683664502,102886197764899636537,no
1683664502,106840494431728051523,yes
16838153,102886197764899636537,no
16838153,110132555317989725363,yes
16856622,103399636398105695214,no
16856622,110469561766968317394,no
16856622,114241694490996505356,yes
168659251,113464132509725830261,no
168659251,117271823550428470515,yes
16868263,116653992599208763428,yes
168950806,108898736368143407405,yes
16895135,103280786824527848477,no
16895135,103892843756494222476,yes
16895135,108726152831752630088,no
16895135,111161147524949095445,no
16895135,114794723532613892967,no
16895135,118136232699687858099,no
168988932,102582850565195817357,no
168988932,103589433466033644268,yes
168988932,115556703606640570961,no
16909926,109241180941257276810,yes
16928122,102502611367930226805,yes
16928122,102886197764899636537,no
16929682,103163264047876370868,yes
16938227,101134705810703667469,no
16938227,104081822149020120656,yes
16938227,105331027404252747703,no
16938227,109176677586336609296,no
1694139265,109559876976674069274,yes
169527826,101806750141735960126,yes
16952837,102886197764899636537,no
16952837,103488312762145240980,yes
17005126,107230040249004667075,yes
170128466,105592263171058062908,yes
17021732,111538675059310105255,yes
170221295,107868802925151317504,yes
170497524,101574331306201964941,yes
1705195130,108102622493582164998,yes
17070388,105090363595641798289,yes
17076700,102886197764899636537,no
17076700,115639872537084676090,yes
170905301,105772561463865428234,yes
170905301,113557371289421835990,no
17109722,114164392473567048505,yes
1711421509,102886197764899636537,no
1711421509,112521087123250593344,yes
1713298790,106580193889112724766,yes
1713298790,108617677353093893230,no
17136773,106544113502730502763,yes
17136773,116954625334131495714,no
17140906,102886197764899636537,no
17140906,106544113502730502763,no
17140906,114615677830589418099,no
17140906,115556703606640570961,no
17140906,117142491928353944408,yes
17140906,118136232699687858099,no
17153067,100271162429893002764,yes
17153067,102660925149030065933,no
17153067,106150188477499784799,no
1715371316,104793306745746138437,yes
1716047011,116930037124484274687,yes
1716834979,100440758470641315034,yes
1716834979,104394959870091930113,no
17170067,112141671271909735156,yes
171789983,109194767821862704336,yes
171789983,116856288076616258034,no
171789983,117799004633198066477,no
171891549,102886197764899636537,no
171891549,106150188477499784799,yes
171891549,107320017807198008219,no
171891549,112141671271909735156,no
17189517,100502806126131626792,yes
17189517,112141671271909735156,no
17189517,116043364610928188481,no
17195410,102886197764899636537,no
17195410,110955908276617703830,yes
